vehicle_id,ultimo_timestamp,ultimo_distrito,ultima_zona
154,2025-01-31 19:12:47,Brooklyn,Marine Park/Floyd Bennett Field
153,2025-01-31 21:38:55,Manhattan,Marble Hill
152,2025-01-31 23:41:46,Manhattan,Manhattanville
151,2025-01-31 23:58:18,Manhattan,Manhattan Valley
150,2025-01-31 23:07:47,Brooklyn,Manhattan Beach
15,2025-01-31 15:43:52,Queens,Bay Terrace/Fort Totten
149,2025-01-31 23:33:46,Brooklyn,Madison
148,2025-01-31 23:59:44,Manhattan,Lower East Side
147,2025-01-31 23:31:52,Bronx,Longwood
146,2025-01-31 23:58:46,Queens,Long Island City/Queens Plaza
145,2025-01-31 23:59:08,Queens,Long Island City/Hunters Point
144,2025-01-31 23:59:44,Manhattan,Little Italy/NoLiTa
143,2025-01-31 23:59:56,Manhattan,Lincoln Square West
142,2025-01-31 23:59:29,Manhattan,Lincoln Square East
141,2025-01-31 23:59:53,Manhattan,Lenox Hill West
140,2025-01-31 23:57:20,Manhattan,Lenox Hill East
14,2025-01-31 23:45:33,Brooklyn,Bay Ridge
139,2025-01-31 15:56:50,Queens,Laurelton
138,2025-01-31 23:59:11,Queens,LaGuardia Airport
137,2025-01-31 23:59:32,Manhattan,Kips Bay
136,2025-01-31 23:57:12,Bronx,Kingsbridge Heights
135,2025-01-31 22:52:58,Queens,Kew Gardens Hills
134,2025-01-31 23:21:35,Queens,Kew Gardens
133,2025-01-31 22:46:53,Brooklyn,Kensington
132,2025-01-31 23:59:51,Queens,JFK Airport
131,2025-01-31 20:37:56,Queens,Jamaica Estates
130,2025-01-31 23:59:34,Queens,Jamaica
13,2025-01-31 23:53:51,Manhattan,Battery Park City
129,2025-01-31 23:44:05,Queens,Jackson Heights
128,2025-01-31 14:36:07,Manhattan,Inwood Hill Park
127,2025-01-31 23:59:26,Manhattan,Inwood
126,2025-01-31 23:40:00,Bronx,Hunts Point
125,2025-01-31 23:58:56,Manhattan,Hudson Sq
124,2025-01-31 23:49:08,Queens,Howard Beach
123,2025-01-31 23:59:12,Brooklyn,Homecrest
122,2025-01-31 22:20:18,Queens,Hollis
121,2025-01-31 20:41:00,Queens,Hillcrest/Pomonok
120,2025-01-29 00:13:33,Manhattan,Highbridge Park
12,2025-01-31 16:43:23,Manhattan,Battery Park
119,2025-01-31 21:44:25,Bronx,Highbridge
118,2025-01-30 15:22:56,Staten Island,Heartland Village/Todt Hill
117,2025-01-31 19:06:46,Queens,Hammels/Arverne
116,2025-01-31 23:48:53,Manhattan,Hamilton Heights
115,2025-01-29 15:59:34,Staten Island,Grymes Hill/Clifton
114,2025-01-31 23:59:34,Manhattan,Greenwich Village South
113,2025-02-01 00:00:44,Manhattan,Greenwich Village North
112,2025-01-31 23:56:54,Brooklyn,Greenpoint
111,2025-01-19 23:39:06,Brooklyn,Green-Wood Cemetery
11,2025-01-31 15:53:30,Brooklyn,Bath Beach
109,2025-01-29 09:29:34,Staten Island,Great Kills
108,2025-01-31 23:58:18,Brooklyn,Gravesend
107,2025-01-31 23:59:59,Manhattan,Gramercy
106,2025-01-31 22:33:34,Brooklyn,Gowanus
102,2025-01-31 23:30:19,Queens,Glendale
101,2025-01-31 17:48:52,Queens,Glen Oaks
100,2025-01-31 23:58:36,Manhattan,Garment District
10,2025-01-31 23:56:08,Queens,Baisley Park
1,2025-01-31 19:20:36,EWR,Newark Airport
